Data,Hora,Consumo_energia,Temperatura
2023-06-28 19:17:56,11:11,281.78349570297155,27.343260132683007
2023-10-13 15:54:55,15:43,343.5837915877344,33.45542947764961
2023-10-18 10:31:44,22:26,372.31985768056285,15.144253558185891
2023-12-04 08:55:53,20:09,475.3312921298732,33.559132702918596
2023-07-15 22:06:42,13:33,335.1090020356224,15.191394860668128
2023-01-15 04:43:18,10:58,346.4059968385327,21.595016137893317
2023-04-03 04:41:19,12:53,477.8882470334292,30.412441789158144
2023-12-27 01:04:40,23:47,413.24112130098206,28.543231123981165
2023-10-23 09:56:21,15:34,224.72921983477192,19.529406199645173
2023-06-08 14:26:00,02:33,368.83999758748223,23.548493568341506
2023-02-16 13:15:43,17:17,398.82285361680397,33.44855129489373
2023-10-23 08:02:34,15:07,382.6457721526523,25.33064341982886
2023-01-24 18:14:43,23:56,213.61707427545315,18.710795756514063
2023-04-19 02:24:31,00:59,517.3965420661046,25.928778454636948
2023-08-12 18:09:55,08:53,457.23468046470197,16.98008016580036
2023-12-08 08:33:03,12:56,423.79724266673793,25.92386894426025
2023-06-16 09:59:37,00:29,369.77041473959275,23.280373440280904
2023-08-18 21:20:24,06:22,727.7614087473947,18.960720270030535
2023-02-20 16:39:53,10:52,754.7290219145143,24.554594739394343
2023-07-08 11:26:30,09:18,414.1558779787248,33.775733199966325
2023-08-24 11:09:49,05:49,750.4261143092366,33.710335736303875
2023-08-23 21:43:50,11:49,723.0955902059465,21.972672746876917
2023-01-12 02:02:23,01:23,374.2234496285363,15.43740967086796
2023-09-02 10:50:13,08:39,466.1278433432191,26.810056376353977
2023-01-29 01:03:38,14:08,541.901931549799,22.951723716094804
2023-08-22 12:26:40,17:39,374.3879446896591,24.36798643136245
2023-03-31 22:24:00,06:26,724.2248424623409,18.69888987882716
2023-05-29 21:41:38,11:09,486.0979006202018,19.943978724294798
2023-06-23 20:15:04,02:34,797.494192472167,20.317527387002194
2023-04-12 07:33:05,10:11,362.0499067696624,19.219331534983965
2023-08-20 17:11:59,15:28,793.6666599330966,17.935036736845717
2023-08-13 19:18:36,15:28,532.9733688269217,30.68241025055289
